,ImageName,Sfull,CorrLen,MeanLength,MeanWidth,LengthDensity,ImageSize,Process,DotSize,file_url,color
0,MFU 0.1 spin coating 001_2um.001,0.87326,622.3635,361.6864,14.4767,0.015281,2,MFU,4,https://farm6.staticflickr.com/5513/30758994195_821fd60309.jpg,#0078ff
1,MFU 0.1 spin coating 002_2um.001,0.81183,402.2616,344.76099999999997,15.1403,0.014652000000000002,2,MFU,4,https://farm6.staticflickr.com/5468/30642437132_3c90407f91.jpg,#0078ff
2,MFU 0.25 spin coating 001_2um.002,0.33763000000000004,506.4571,164.7038,15.5168,0.011035,2,MFU,4,https://farm6.staticflickr.com/5738/30642437092_3d090af106.jpg,#0078ff
3,MFU 0.6 spin coating 001_2um.001,0.25263,495.0272,190.1355,14.5377,0.011836,2,MFU,4,https://farm6.staticflickr.com/5465/30758994255_1e192c2be1.jpg,#0078ff
4,10%_2min,0.087859,322.8267,148.7525,21.1618,0.0092227,2,Son+2MP,4,https://farm6.staticflickr.com/5567/30123037323_295045cdd3.jpg,#86a261
5,15%,0.44978999999999997,383.5131,159.4503,17.997,0.0099258,2,2MP,4,https://farm6.staticflickr.com/5784/30123037193_261fb42768.jpg,#a0abb3
6,15%_2min,0.27304,380.6616,184.078,18.6723,0.011137000000000001,2,Son+2MP,4,https://farm6.staticflickr.com/5686/30721965296_53d63d451f.jpg,#86a261
7,20%,0.56407,406.7245,220.71900000000002,15.1415,0.013574000000000001,2,2MP,4,https://farm6.staticflickr.com/5459/30721965476_b22f28d1e8.jpg,#a0abb3
8,20%_2min,0.25595,244.7437,133.5685,18.705,0.0093164,2,Son+2MP,4,https://farm6.staticflickr.com/5790/30458043630_1760236032.jpg,#86a261
9,30%,0.27476999999999996,297.5846,148.8487,15.6816,0.011312000000000001,2,2MP,4,https://farm6.staticflickr.com/5754/30721965416_54e0cc3dc9.jpg,#a0abb3
10,40%,0.1227,334.97,135.6212,17.533,0.011223,2,2MP,4,https://farm6.staticflickr.com/5459/30721965636_f8d7e203bd.jpg,#a0abb3
11,5%_2min,0.17722000000000002,236.7337,139.6912,19.875,0.0087656,2,Son+2MP,4,https://farm6.staticflickr.com/5824/30458043750_a43f232bdb.jpg,#86a261
12,CMC6-1-0.5mms-4um.005,0.28956,432.0112,202.7853,24.1278,0.0052471,4,Slide,8,https://farm9.staticflickr.com/8614/29926633823_f355f891f4.jpg,#9adbf3
13,CMC6-2-1mms-4um.001,0.77778,222.9739,291.0938,24.6858,0.0072773,4,Slide,8,https://farm6.staticflickr.com/5657/30443645862_415f2dcce7.jpg,#9adbf3
14,CMC6-2-1mms-4um.002,0.80366,184.4389,271.253,24.0747,0.007154300000000001,4,Slide,8,https://farm6.staticflickr.com/5341/30261347560_766c2d3eeb.jpg,#9adbf3
15,CMC6-3-2mms-4um.001,0.8480200000000001,254.0527,331.145,23.945999999999998,0.0073887,4,Slide,8,https://farm6.staticflickr.com/5468/29926633793_241d68873d.jpg,#9adbf3
16,CMC6-4-4mms-4um.001,0.6267,462.7034,293.2821,23.9799,0.0068555000000000005,4,Slide,8,https://farm6.staticflickr.com/5628/29926633733_0525de74f0.jpg,#9adbf3
17,CMC6-4-4mms-4um.002,0.69077,756.2096,309.6391,24.2545,0.0068701000000000005,4,Slide,8,https://farm6.staticflickr.com/5678/29929212094_fae4e1af60.jpg,#9adbf3
